X,Y,Z
0.0,0.0,0.0
100.0,0.0,0.0
0.0,100.0,0.0
100.0,100.0,0.0
0.0,0.0,100.0
100.0,0.0,100.0
100.0,100.0,100.0
0.0,100.0,100.0
33.33333333333333,0.0,0.0
66.66666666666666,0.0,0.0
33.33333333333333,100.0,0.0
66.66666666666666,100.0,0.0
0.0,33.33333333333333,0.0
0.0,66.66666666666666,0.0
100.0,33.33333333333333,0.0
100.0,66.66666666666666,0.0
33.33333333333333,0.0,100.0
66.66666666666666,0.0,100.0
100.0,33.33333333333333,100.0
100.0,66.66666666666666,100.0
66.66666666666666,100.0,100.0
33.33333333333333,100.0,100.0
0.0,66.66666666666666,100.0
0.0,33.33333333333333,100.0
0.0,0.0,33.33333333333333
0.0,0.0,66.66666666666666
100.0,0.0,33.33333333333333
100.0,0.0,66.66666666666666
100.0,100.0,33.33333333333333
100.0,100.0,66.66666666666666
0.0,100.0,33.33333333333333
0.0,100.0,66.66666666666666
33.33333333333333,33.33333333333333,0.0
33.33333333333333,66.66666666666666,0.0
66.66666666666666,33.33333333333333,0.0
66.66666666666666,66.66666666666666,0.0
33.33333333333333,0.0,33.33333333333333
33.33333333333333,0.0,66.66666666666666
66.66666666666666,0.0,33.33333333333333
66.66666666666666,0.0,66.66666666666666
100.0,33.33333333333333,33.33333333333333
100.0,33.33333333333333,66.66666666666666
100.0,66.66666666666666,33.33333333333333
100.0,66.66666666666666,66.66666666666666
33.33333333333333,100.0,33.33333333333333
33.33333333333333,100.0,66.66666666666666
66.66666666666666,100.0,33.33333333333333
66.66666666666666,100.0,66.66666666666666
0.0,33.33333333333333,33.33333333333333
0.0,33.33333333333333,66.66666666666666
0.0,66.66666666666666,33.33333333333333
0.0,66.66666666666666,66.66666666666666
33.33333333333333,33.33333333333333,100.0
33.33333333333333,66.66666666666666,100.0
66.66666666666666,33.33333333333333,100.0
66.66666666666666,66.66666666666666,100.0
33.33333333333333,33.33333333333333,33.33333333333333
33.33333333333333,33.33333333333333,66.66666666666666
33.33333333333333,66.66666666666666,33.33333333333333
33.33333333333333,66.66666666666666,66.66666666666666
66.66666666666666,33.33333333333333,33.33333333333333
66.66666666666666,33.33333333333333,66.66666666666666
66.66666666666666,66.66666666666666,33.33333333333333
66.66666666666666,66.66666666666666,66.66666666666666
