X,Y,Z
-2.7755575615628914e-17,1.0408340855860843e-17,6.938893903907228e-18
1.0,0.0,0.0
-6.938893903907228e-18,1.0,-6.938893903907228e-18
1.0,1.0,0.0
1.3877787807814457e-17,-3.469446951953614e-18,1.0
1.0,0.0,1.0
1.0,1.0,1.0
0.0,1.0,1.0
0.33333333333333326,1.0408340855860843e-17,-6.938893903907228e-18
0.6666666666666666,1.5612511283791264e-17,0.0
0.33333333333333326,1.0,-1.734723475976807e-17
0.6666666666666666,1.0,1.0408340855860843e-17
5.551115123125783e-17,0.3333333333333333,6.938893903907228e-18
-5.551115123125783e-17,0.6666666666666666,-1.734723475976807e-17
1.0,0.3333333333333333,0.0
1.0,0.6666666666666666,0.0
0.33333333333333326,6.938893903907228e-18,1.0
0.6666666666666666,6.938893903907228e-18,1.0
1.0,0.3333333333333333,1.0
1.0,0.6666666666666666,1.0
0.6666666666666666,1.0,1.0
0.33333333333333337,1.0,1.0
-1.1102230246251565e-16,0.6666666666666666,1.0
-4.163336342344337e-17,0.3333333333333333,1.0
2.0816681711721685e-17,-6.938893903907228e-18,0.3333333333333333
-4.85722573273506e-17,-1.3877787807814457e-17,0.6666666666666666
1.0,0.0,0.3333333333333333
1.0,0.0,0.6666666666666666
1.0,1.0,0.3333333333333333
1.0,1.0,0.6666666666666666
6.938893903907228e-17,1.0,0.3333333333333333
4.163336342344337e-17,1.0,0.6666666666666666
0.33333333333333337,0.3333333333333333,-2.0816681711721685e-17
0.3333333333333333,0.6666666666666666,0.0
0.6666666666666666,0.3333333333333333,-6.938893903907228e-18
0.6666666666666666,0.6666666666666666,3.469446951953614e-18
0.33333333333333337,0.0,0.3333333333333333
0.3333333333333333,6.938893903907228e-18,0.6666666666666666
0.6666666666666666,1.734723475976807e-17,0.3333333333333333
0.6666666666666666,-1.214306433183765e-17,0.6666666666666666
1.0,0.3333333333333333,0.3333333333333333
1.0,0.3333333333333333,0.6666666666666666
1.0,0.6666666666666666,0.3333333333333333
1.0,0.6666666666666666,0.6666666666666666
0.33333333333333337,1.0,0.3333333333333333
0.3333333333333333,1.0,0.6666666666666666
0.6666666666666666,1.0,0.3333333333333333
0.6666666666666666,1.0,0.6666666666666666
2.0816681711721685e-17,0.3333333333333333,0.3333333333333333
5.551115123125783e-17,0.3333333333333333,0.6666666666666666
1.3877787807814457e-17,0.6666666666666666,0.3333333333333333
1.3877787807814457e-17,0.6666666666666666,0.6666666666666666
0.33333333333333337,0.3333333333333333,1.0
0.3333333333333333,0.6666666666666666,1.0
0.6666666666666666,0.3333333333333333,1.0
0.6666666666666666,0.6666666666666666,1.0
0.3333333333333333,0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333,0.6666666666666666
0.3333333333333333,0.6666666666666666,0.3333333333333333
0.3333333333333333,0.6666666666666666,0.6666666666666666
0.6666666666666666,0.3333333333333333,0.3333333333333333
0.6666666666666666,0.3333333333333333,0.6666666666666666
0.6666666666666666,0.6666666666666666,0.3333333333333333
0.6666666666666666,0.6666666666666666,0.6666666666666666
